"ID","TypeGefailleerde","RegioS","Perioden","UitgesprokenFaillissementen_1"
288,"TG07","NL01  ","2016JJ00","    4988"
289,"TG07","NL01  ","2017MM01","     443"
290,"TG07","NL01  ","2017MM02","     331"
291,"TG07","NL01  ","2017MM03","     339"
292,"TG07","NL01  ","2017KW01","    1113"
293,"TG07","NL01  ","2017MM04","     295"
294,"TG07","NL01  ","2017MM05","     371"
295,"TG07","NL01  ","2017MM06","     323"
296,"TG07","NL01  ","2017KW02","     989"
297,"TG07","NL01  ","2017MM07","     287"
298,"TG07","NL01  ","2017MM08","     313"
299,"TG07","NL01  ","2017MM09","     271"
300,"TG07","NL01  ","2017KW03","     871"
301,"TG07","NL01  ","2017MM10","     334"
302,"TG07","NL01  ","2017MM11","     291"
303,"TG07","NL01  ","2017MM12","     249"
304,"TG07","NL01  ","2017KW04","     874"
305,"TG07","NL01  ","2017JJ00","    3847"
